field.showcase	field.html	field.tab	col.type	col.name	traits
25056	25056-2.0	f.25056.2.0	Continuous	mean_fa_in_middle_cerebellar_peduncle_on_fa_skeleton_f25056_2_0	FA_MiCePeOnFaSk
25057	25057-2.0	f.25057.2.0	Continuous	mean_fa_in_pontine_crossing_tract_on_fa_skeleton_f25057_2_0	FA_PoCrTrOnFaSk
25058	25058-2.0	f.25058.2.0	Continuous	mean_fa_in_genu_of_corpus_callosum_on_fa_skeleton_f25058_2_0	FA_GeOfCoCaOnFaSk
25059	25059-2.0	f.25059.2.0	Continuous	mean_fa_in_body_of_corpus_callosum_on_fa_skeleton_f25059_2_0	FA_BoOfCoCaOnFaSk
25060	25060-2.0	f.25060.2.0	Continuous	mean_fa_in_splenium_of_corpus_callosum_on_fa_skeleton_f25060_2_0	FA_SpOfCoCaOnFaSk
25061	25061-2.0	f.25061.2.0	Continuous	mean_fa_in_fornix_on_fa_skeleton_f25061_2_0	FA_FoOnFaSk
25062	25062-2.0	f.25062.2.0	Continuous	mean_fa_in_corticospinal_tract_on_fa_skeleton_right_f25062_2_0	FA_CTOFS_R
25063	25063-2.0	f.25063.2.0	Continuous	mean_fa_in_corticospinal_tract_on_fa_skeleton_left_f25063_2_0	FA_CTOFS_L
25064	25064-2.0	f.25064.2.0	Continuous	mean_fa_in_medial_lemniscus_on_fa_skeleton_right_f25064_2_0	FA_MLOFS_R
25065	25065-2.0	f.25065.2.0	Continuous	mean_fa_in_medial_lemniscus_on_fa_skeleton_left_f25065_2_0	FA_MLOFS_L
25066	25066-2.0	f.25066.2.0	Continuous	mean_fa_in_inferior_cerebellar_peduncle_on_fa_skeleton_right_f25066_2_0	FA_ICPOFS_R
25067	25067-2.0	f.25067.2.0	Continuous	mean_fa_in_inferior_cerebellar_peduncle_on_fa_skeleton_left_f25067_2_0	FA_ICPOFS_L
25068	25068-2.0	f.25068.2.0	Continuous	mean_fa_in_superior_cerebellar_peduncle_on_fa_skeleton_right_f25068_2_0	FA_SCPOFS_R
25069	25069-2.0	f.25069.2.0	Continuous	mean_fa_in_superior_cerebellar_peduncle_on_fa_skeleton_left_f25069_2_0	FA_SCPOFS_L
25070	25070-2.0	f.25070.2.0	Continuous	mean_fa_in_cerebral_peduncle_on_fa_skeleton_right_f25070_2_0	FA_CPOFS_R
25071	25071-2.0	f.25071.2.0	Continuous	mean_fa_in_cerebral_peduncle_on_fa_skeleton_left_f25071_2_0	FA_CPOFS_L
25072	25072-2.0	f.25072.2.0	Continuous	mean_fa_in_anterior_limb_of_internal_capsule_on_fa_skeleton_right_f25072_2_0	FA_ALOICOFS_R
25073	25073-2.0	f.25073.2.0	Continuous	mean_fa_in_anterior_limb_of_internal_capsule_on_fa_skeleton_left_f25073_2_0	FA_ALOICOFS_L
25074	25074-2.0	f.25074.2.0	Continuous	mean_fa_in_posterior_limb_of_internal_capsule_on_fa_skeleton_right_f25074_2_0	FA_PLOICOFS_R
