field.showcase	field.html	field.tab	col.type	col.name	traits
25104	25104-2.0	f.25104.2.0	Continuous	mean_md_in_middle_cerebellar_peduncle_on_fa_skeleton_f25104_2_0	MD_MiCePeOnFaSk
25105	25105-2.0	f.25105.2.0	Continuous	mean_md_in_pontine_crossing_tract_on_fa_skeleton_f25105_2_0	MD_PoCrTrOnFaSk
25106	25106-2.0	f.25106.2.0	Continuous	mean_md_in_genu_of_corpus_callosum_on_fa_skeleton_f25106_2_0	MD_GeOfCoCaOnFaSk
25107	25107-2.0	f.25107.2.0	Continuous	mean_md_in_body_of_corpus_callosum_on_fa_skeleton_f25107_2_0	MD_BoOfCoCaOnFaSk
25108	25108-2.0	f.25108.2.0	Continuous	mean_md_in_splenium_of_corpus_callosum_on_fa_skeleton_f25108_2_0	MD_SpOfCoCaOnFaSk
25109	25109-2.0	f.25109.2.0	Continuous	mean_md_in_fornix_on_fa_skeleton_f25109_2_0	MD_FoOnFaSk
25110	25110-2.0	f.25110.2.0	Continuous	mean_md_in_corticospinal_tract_on_fa_skeleton_right_f25110_2_0	MD_CTOFS_R
25111	25111-2.0	f.25111.2.0	Continuous	mean_md_in_corticospinal_tract_on_fa_skeleton_left_f25111_2_0	MD_CTOFS_L
25112	25112-2.0	f.25112.2.0	Continuous	mean_md_in_medial_lemniscus_on_fa_skeleton_right_f25112_2_0	MD_MLOFS_R
25113	25113-2.0	f.25113.2.0	Continuous	mean_md_in_medial_lemniscus_on_fa_skeleton_left_f25113_2_0	MD_MLOFS_L
25114	25114-2.0	f.25114.2.0	Continuous	mean_md_in_inferior_cerebellar_peduncle_on_fa_skeleton_right_f25114_2_0	MD_ICPOFS_R
25115	25115-2.0	f.25115.2.0	Continuous	mean_md_in_inferior_cerebellar_peduncle_on_fa_skeleton_left_f25115_2_0	MD_ICPOFS_L
25116	25116-2.0	f.25116.2.0	Continuous	mean_md_in_superior_cerebellar_peduncle_on_fa_skeleton_right_f25116_2_0	MD_SCPOFS_R
25117	25117-2.0	f.25117.2.0	Continuous	mean_md_in_superior_cerebellar_peduncle_on_fa_skeleton_left_f25117_2_0	MD_SCPOFS_L
25118	25118-2.0	f.25118.2.0	Continuous	mean_md_in_cerebral_peduncle_on_fa_skeleton_right_f25118_2_0	MD_CPOFS_R
25119	25119-2.0	f.25119.2.0	Continuous	mean_md_in_cerebral_peduncle_on_fa_skeleton_left_f25119_2_0	MD_CPOFS_L
